,food_type,temperature,hours_already_spent,risk
7592,Sweets,room temperature(more than 25 C),5.67,very high
7593,Fried items,refrigerated temperature,7.93,low
7594,Dal/lentils,refrigerated temperature,8.37,low
7595,Dairy-based curries,refrigerated temperature,7.92,low
7596,Gravy-based veg curries,cool temperature(approx. 18 C),7.85,very high
7597,Fried items,room temperature(more than 25 C),8.37,very high
7598,Sweets,refrigerated temperature,6.94,low
7599,Dry vegetable dishes,room temperature(more than 25 C),8.41,very high
7600,Fried items,cool temperature(approx. 18 C),1.96,low
7601,Gravy-based veg curries,refrigerated temperature,6.57,low
7602,Fried items,cool temperature(approx. 18 C),0.61,low
7603,Fried items,cool temperature(approx. 18 C),8.09,low
7604,Fried items,room temperature(more than 25 C),8.54,very high
7605,Dal/lentils,cool temperature(approx. 18 C),10.67,very high
7606,Cooked rice dish,room temperature(more than 25 C),5.65,very high
7607,Non-veg curries,refrigerated temperature,8.59,low
7608,Dry vegetable dishes,room temperature(more than 25 C),9.29,very high
7609,Sweets,room temperature(more than 25 C),7.05,very high
7610,Fresh breads,room temperature(more than 25 C),7.55,very high
7611,Dry vegetable dishes,cool temperature(approx. 18 C),8.48,high
7612,Gravy-based veg curries,room temperature(more than 25 C),6.29,very high
7613,Dairy-based curries,room temperature(more than 25 C),5.97,very high
7614,Dairy-based curries,refrigerated temperature,0.86,low
7615,Non-veg curries,room temperature(more than 25 C),7.93,very high
7616,Non-veg curries,refrigerated temperature,2.38,low
7617,Fresh breads,room temperature(more than 25 C),7.77,very high
7618,Dal/lentils,cool temperature(approx. 18 C),4.02,high
7619,Fried items,room temperature(more than 25 C),6.49,very high
7620,Fresh breads,cool temperature(approx. 18 C),11.91,very high
7621,Cooked rice dish,room temperature(more than 25 C),9.39,very high
7622,Fresh breads,refrigerated temperature,3.15,low
7623,Non-veg curries,refrigerated temperature,5.22,low
7624,Dry vegetable dishes,refrigerated temperature,7.26,low
7625,Dairy-based curries,room temperature(more than 25 C),11.66,very high
7626,Dal/lentils,cool temperature(approx. 18 C),5.91,high
7627,Dal/lentils,room temperature(more than 25 C),11.41,very high
7628,Fried items,cool temperature(approx. 18 C),10.63,low
7629,Fried items,room temperature(more than 25 C),7.91,very high
7630,Cooked rice dish,room temperature(more than 25 C),9.39,very high
7631,Dairy-based curries,refrigerated temperature,10.64,low
7632,Non-veg curries,room temperature(more than 25 C),3.61,very high
7633,Dal/lentils,room temperature(more than 25 C),8.74,very high
7634,Non-veg curries,cool temperature(approx. 18 C),7.81,very high
7635,Gravy-based veg curries,room temperature(more than 25 C),8.53,very high
7636,Fried items,cool temperature(approx. 18 C),5.29,low
7637,Non-veg curries,room temperature(more than 25 C),8.62,very high
7638,Dal/lentils,refrigerated temperature,1.46,low
7639,Fresh breads,refrigerated temperature,9.65,low
7640,Dairy-based curries,refrigerated temperature,1.64,low
7641,Non-veg curries,room temperature(more than 25 C),5.46,very high
7642,Dal/lentils,room temperature(more than 25 C),11.53,very high
7643,Sweets,room temperature(more than 25 C),0.76,medium
7644,Cooked rice dish,room temperature(more than 25 C),1.15,very high
7645,Dry vegetable dishes,cool temperature(approx. 18 C),6.44,medium
7646,Fried items,cool temperature(approx. 18 C),2.19,low
7647,Gravy-based veg curries,refrigerated temperature,9.0,low
7648,Dal/lentils,cool temperature(approx. 18 C),2.08,medium
7649,Dry vegetable dishes,refrigerated temperature,10.75,low
7650,Sweets,room temperature(more than 25 C),7.88,very high
7651,Gravy-based veg curries,refrigerated temperature,10.93,low
7652,Dry vegetable dishes,refrigerated temperature,10.7,low
7653,Dry vegetable dishes,room temperature(more than 25 C),0.37,medium
7654,Dairy-based curries,refrigerated temperature,0.55,low
7655,Non-veg curries,cool temperature(approx. 18 C),3.09,very high
7656,Gravy-based veg curries,refrigerated temperature,8.77,low
7657,Sweets,cool temperature(approx. 18 C),8.1,high
7658,Non-veg curries,refrigerated temperature,4.08,low
7659,Gravy-based veg curries,refrigerated temperature,6.67,low
7660,Gravy-based veg curries,refrigerated temperature,1.03,low
7661,Dairy-based curries,room temperature(more than 25 C),8.91,very high
7662,Dal/lentils,cool temperature(approx. 18 C),7.74,very high
7663,Dal/lentils,cool temperature(approx. 18 C),0.06,medium
7664,Dry vegetable dishes,cool temperature(approx. 18 C),11.45,very high
7665,Gravy-based veg curries,refrigerated temperature,3.18,low
7666,Sweets,refrigerated temperature,10.25,low
7667,Fresh breads,refrigerated temperature,0.09,low
7668,Fresh breads,refrigerated temperature,3.67,low
7669,Non-veg curries,room temperature(more than 25 C),0.38,very high
7670,Cooked rice dish,room temperature(more than 25 C),8.24,very high
7671,Gravy-based veg curries,cool temperature(approx. 18 C),5.69,high
7672,Non-veg curries,room temperature(more than 25 C),7.15,very high
7673,Sweets,room temperature(more than 25 C),2.38,high
7674,Sweets,cool temperature(approx. 18 C),9.64,high
7675,Gravy-based veg curries,room temperature(more than 25 C),1.18,high
7676,Dairy-based curries,refrigerated temperature,7.51,low
7677,Sweets,room temperature(more than 25 C),10.28,very high
7678,Gravy-based veg curries,cool temperature(approx. 18 C),10.34,very high
7679,Non-veg curries,refrigerated temperature,7.01,low
7680,Sweets,refrigerated temperature,7.89,low
7681,Sweets,cool temperature(approx. 18 C),8.11,high
7682,Fresh breads,cool temperature(approx. 18 C),0.67,low
7683,Fresh breads,refrigerated temperature,10.49,low
7684,Fresh breads,cool temperature(approx. 18 C),2.07,low
7685,Gravy-based veg curries,cool temperature(approx. 18 C),7.87,very high
7686,Dairy-based curries,refrigerated temperature,6.43,low
7687,Dal/lentils,room temperature(more than 25 C),4.97,very high
7688,Dry vegetable dishes,cool temperature(approx. 18 C),0.34,low
7689,Fresh breads,refrigerated temperature,0.52,low
7690,Fresh breads,room temperature(more than 25 C),11.47,very high
7691,Dal/lentils,refrigerated temperature,11.15,low
7692,Sweets,room temperature(more than 25 C),8.73,very high
7693,Cooked rice dish,room temperature(more than 25 C),7.32,very high
7694,Dairy-based curries,cool temperature(approx. 18 C),5.25,very high
7695,Gravy-based veg curries,cool temperature(approx. 18 C),4.55,high
7696,Dry vegetable dishes,cool temperature(approx. 18 C),8.64,high
7697,Sweets,room temperature(more than 25 C),6.66,very high
7698,Non-veg curries,cool temperature(approx. 18 C),7.04,very high
7699,Dry vegetable dishes,cool temperature(approx. 18 C),11.26,very high
7700,Fried items,cool temperature(approx. 18 C),8.6,low
7701,Dairy-based curries,room temperature(more than 25 C),7.97,very high
7702,Non-veg curries,room temperature(more than 25 C),5.61,very high
7703,Non-veg curries,cool temperature(approx. 18 C),0.45,high
7704,Cooked rice dish,room temperature(more than 25 C),8.75,very high
7705,Fresh breads,refrigerated temperature,1.22,low
7706,Gravy-based veg curries,cool temperature(approx. 18 C),9.23,very high
7707,Non-veg curries,room temperature(more than 25 C),10.66,very high
7708,Fresh breads,cool temperature(approx. 18 C),2.7,low
7709,Fresh breads,cool temperature(approx. 18 C),5.73,medium
7710,Sweets,refrigerated temperature,0.68,low
7711,Gravy-based veg curries,refrigerated temperature,6.24,low
7712,Fried items,refrigerated temperature,9.58,low
7713,Dairy-based curries,cool temperature(approx. 18 C),8.43,very high
7714,Sweets,room temperature(more than 25 C),2.29,high
7715,Fresh breads,cool temperature(approx. 18 C),7.44,medium
7716,Gravy-based veg curries,room temperature(more than 25 C),1.15,high
7717,Dal/lentils,room temperature(more than 25 C),7.07,very high
7718,Dairy-based curries,refrigerated temperature,4.13,low
7719,Dry vegetable dishes,refrigerated temperature,7.13,low
7720,Fresh breads,cool temperature(approx. 18 C),8.54,high
7721,Dal/lentils,cool temperature(approx. 18 C),5.77,high
7722,Dairy-based curries,refrigerated temperature,7.85,low
7723,Dairy-based curries,room temperature(more than 25 C),7.86,very high
7724,Dal/lentils,refrigerated temperature,11.94,low
7725,Fried items,room temperature(more than 25 C),2.01,medium
7726,Dal/lentils,room temperature(more than 25 C),2.09,very high
7727,Fresh breads,room temperature(more than 25 C),8.4,very high
7728,Cooked rice dish,room temperature(more than 25 C),5.91,very high
7729,Cooked rice dish,refrigerated temperature,3.48,low
7730,Sweets,room temperature(more than 25 C),9.56,very high
7731,Cooked rice dish,refrigerated temperature,5.0,low
7732,Cooked rice dish,refrigerated temperature,4.03,low
7733,Non-veg curries,refrigerated temperature,7.74,low
7734,Fried items,cool temperature(approx. 18 C),9.84,low
7735,Dal/lentils,cool temperature(approx. 18 C),5.85,high
7736,Dal/lentils,refrigerated temperature,11.16,low
7737,Cooked rice dish,cool temperature(approx. 18 C),9.95,very high
7738,Cooked rice dish,room temperature(more than 25 C),9.72,very high
7739,Fried items,refrigerated temperature,4.45,low
7740,Fresh breads,room temperature(more than 25 C),11.96,very high
7741,Gravy-based veg curries,refrigerated temperature,10.06,low
7742,Dal/lentils,room temperature(more than 25 C),11.01,very high
7743,Fried items,room temperature(more than 25 C),9.36,very high
7744,Non-veg curries,room temperature(more than 25 C),7.47,very high
7745,Dal/lentils,cool temperature(approx. 18 C),1.23,medium
7746,Dal/lentils,refrigerated temperature,10.91,low
7747,Gravy-based veg curries,room temperature(more than 25 C),10.14,very high
7748,Non-veg curries,cool temperature(approx. 18 C),10.25,very high
7749,Dal/lentils,cool temperature(approx. 18 C),4.76,high
7750,Cooked rice dish,refrigerated temperature,8.74,low
7751,Dal/lentils,room temperature(more than 25 C),11.26,very high
7752,Sweets,refrigerated temperature,11.69,low
7753,Dry vegetable dishes,refrigerated temperature,2.94,low
7754,Dry vegetable dishes,refrigerated temperature,2.11,low
7755,Dal/lentils,room temperature(more than 25 C),8.13,very high
7756,Dry vegetable dishes,cool temperature(approx. 18 C),5.31,medium
7757,Fresh breads,cool temperature(approx. 18 C),3.86,low
7758,Cooked rice dish,room temperature(more than 25 C),7.57,very high
7759,Non-veg curries,room temperature(more than 25 C),0.21,very high
7760,Cooked rice dish,refrigerated temperature,11.43,low
7761,Fresh breads,cool temperature(approx. 18 C),2.68,low
7762,Dairy-based curries,room temperature(more than 25 C),3.24,very high
7763,Fresh breads,cool temperature(approx. 18 C),6.33,medium
7764,Dal/lentils,refrigerated temperature,2.74,low
7765,Sweets,cool temperature(approx. 18 C),10.28,very high
7766,Fresh breads,room temperature(more than 25 C),7.99,very high
7767,Sweets,refrigerated temperature,7.62,low
7768,Sweets,refrigerated temperature,0.78,low
7769,Non-veg curries,room temperature(more than 25 C),5.0,very high
7770,Gravy-based veg curries,refrigerated temperature,5.72,low
7771,Non-veg curries,room temperature(more than 25 C),2.88,very high
7772,Cooked rice dish,refrigerated temperature,9.41,low
7773,Dry vegetable dishes,refrigerated temperature,4.27,low
7774,Cooked rice dish,cool temperature(approx. 18 C),10.64,very high
7775,Fried items,room temperature(more than 25 C),6.81,very high
7776,Non-veg curries,cool temperature(approx. 18 C),7.28,very high
7777,Dairy-based curries,room temperature(more than 25 C),6.99,very high
7778,Fried items,cool temperature(approx. 18 C),0.97,low
7779,Dry vegetable dishes,room temperature(more than 25 C),8.18,very high
7780,Dry vegetable dishes,cool temperature(approx. 18 C),4.38,medium
7781,Sweets,room temperature(more than 25 C),11.01,very high
7782,Cooked rice dish,cool temperature(approx. 18 C),4.99,very high
7783,Fresh breads,refrigerated temperature,5.44,low
7784,Dry vegetable dishes,refrigerated temperature,6.14,low
7785,Fresh breads,room temperature(more than 25 C),11.54,very high
7786,Dry vegetable dishes,refrigerated temperature,8.84,low
7787,Sweets,refrigerated temperature,2.44,low
7788,Cooked rice dish,room temperature(more than 25 C),8.31,very high
7789,Fried items,cool temperature(approx. 18 C),8.95,low
7790,Fried items,cool temperature(approx. 18 C),3.69,low
7791,Fried items,cool temperature(approx. 18 C),9.2,low
7792,Fried items,room temperature(more than 25 C),1.18,medium
7793,Cooked rice dish,cool temperature(approx. 18 C),11.36,very high
7794,Dairy-based curries,cool temperature(approx. 18 C),10.77,very high
7795,Dal/lentils,cool temperature(approx. 18 C),9.71,very high
7796,Fresh breads,cool temperature(approx. 18 C),7.31,medium
7797,Sweets,room temperature(more than 25 C),8.53,very high
7798,Non-veg curries,room temperature(more than 25 C),6.82,very high
7799,Fried items,room temperature(more than 25 C),4.49,high
7800,Gravy-based veg curries,refrigerated temperature,4.85,low
7801,Gravy-based veg curries,cool temperature(approx. 18 C),7.77,very high
7802,Gravy-based veg curries,refrigerated temperature,10.09,low
7803,Non-veg curries,cool temperature(approx. 18 C),9.6,very high
7804,Fresh breads,cool temperature(approx. 18 C),1.0,low
7805,Cooked rice dish,room temperature(more than 25 C),0.52,high
7806,Fried items,cool temperature(approx. 18 C),0.95,low
7807,Dal/lentils,room temperature(more than 25 C),10.95,very high
7808,Dairy-based curries,cool temperature(approx. 18 C),8.51,very high
7809,Fried items,room temperature(more than 25 C),10.07,very high
7810,Dal/lentils,cool temperature(approx. 18 C),7.79,very high
7811,Cooked rice dish,cool temperature(approx. 18 C),11.5,very high
7812,Dal/lentils,cool temperature(approx. 18 C),6.0,high
7813,Cooked rice dish,room temperature(more than 25 C),6.82,very high
7814,Non-veg curries,cool temperature(approx. 18 C),8.04,very high
7815,Fresh breads,room temperature(more than 25 C),2.09,medium
7816,Dal/lentils,cool temperature(approx. 18 C),4.41,high
7817,Non-veg curries,room temperature(more than 25 C),6.89,very high
7818,Dairy-based curries,cool temperature(approx. 18 C),6.2,very high
7819,Fresh breads,refrigerated temperature,3.23,low
7820,Fresh breads,refrigerated temperature,10.75,low
7821,Dairy-based curries,refrigerated temperature,2.95,low
7822,Dairy-based curries,refrigerated temperature,0.33,low
7823,Sweets,room temperature(more than 25 C),2.33,high
7824,Dry vegetable dishes,room temperature(more than 25 C),9.03,very high
7825,Cooked rice dish,cool temperature(approx. 18 C),5.31,very high
7826,Sweets,cool temperature(approx. 18 C),1.69,low
7827,Dal/lentils,cool temperature(approx. 18 C),11.66,very high
7828,Cooked rice dish,cool temperature(approx. 18 C),11.73,very high
7829,Fresh breads,room temperature(more than 25 C),3.23,medium
7830,Gravy-based veg curries,refrigerated temperature,4.24,low
7831,Sweets,cool temperature(approx. 18 C),4.65,medium
7832,Non-veg curries,cool temperature(approx. 18 C),2.67,very high
7833,Dry vegetable dishes,cool temperature(approx. 18 C),3.65,low
7834,Fresh breads,cool temperature(approx. 18 C),9.59,high
7835,Cooked rice dish,cool temperature(approx. 18 C),3.17,very high
7836,Sweets,refrigerated temperature,0.22,low
7837,Non-veg curries,refrigerated temperature,4.81,low
